Registro,Modalidad,Responsable,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Área de suelo contaminado m²,Volumen de suelo contaminado m³,Programa de remediación aprobado,x,y,Técnica,Responsable de la remediación,Proceso de tratamiento,Año de conclusión,Área de suelo remediado m²,Año de identificación,Volumen de suelo remediado m³
581,,,,,"Km 173+600 camino nacional No. 190, México-Ciudad Cuauhtémoc, tramo el Camarón-Tehuantepec",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,139.29,,139.29
582,,,,,"Km 088+000 autopista Manzanillo-Colima, tramo entronque Guitarrón-Manzanillo",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,1812.26,,504.72
584,,,,,"Avenida Eugenio Garza Sada No. 3431 sur, colonia Arroyo Seco",,,,,,,,,,,Disposición final,"Enertec México, S. de R.L. de C.V.",Disposición final fuera del sitio,2011,31053,,18632
592,,,,,"Km 102+150 carretera federal No. 02 P.G.L.V.-Tijuana, tramo Puerto San Luis-Agua Prieta",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,471,,115.5
593,,,,,"Avenida de la Montaña No. 112-3, parque industrial Querétaro",,,,,,,,,,,Térmicos,"Bufet Integral en Medio Ambiente y Seguridad, S.C.",Co-procesamiento,2011,6,,7
594,,,,,"Km 063+000 camino No. 80 Tampico-Barra de Navidad, tramo Villa Arriaga-Ojuelos",,,,,,,,,,,Combinación de procesos biológicos-disposición final,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado y disposición final fuera del sitio,2012,641.01,,386.6
595,,,,,"Km 056+000 carretera No. 57 México-Piedras Negras, tramo caseta de peaje-Tepeji del Río",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,409.48,,737.06
596,,,,,"Km 113+500 camino nacional No. M40D Arco Norte, tramo Tula-autopista México-Pachuca, paraje El Zapote, Ejido Santa María Ajoloapan",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2012,1252.04,,438.21
597,Emergencia ambiental,Pemex Refinación,Guanajuato,Celaya,"Km 185+190 poliducto de 16"" Ø Tula-Salamanca, poblado de Rancho Seco",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,275.09,275.09,Si,-100.809,20.488,,,,,,2010,
599,,,,,"Km 261+800 carretera federal No. 54 Colima-Ciudad Mier, tramo Zacatecas-Tabasco",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,237.57,,564.41
600,Emergencia ambiental,Pemex Refinación,Veracruz_de_Ignacio_de_la_Llave,Tres Valles,"Km 196+384 poliducto de 12""-20"" Ø Minatitlán-México, poblado de San Pablo del Rincón Dolores",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,10554.24,50662.92,Si,-96.143,18.372,,,,,,2010,
601,Emergencia ambiental,Pemex Refinación,Veracruz_de_Ignacio_de_la_Llave,Omealca,"Km 262+975 poliducto de 12"" Ø Minatitlán-México, Ejido Río Moreno",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,814.48,10144.13,Si,-96.659,18.686,,,,,,2010,
602,Emergencia ambiental,Pemex Refinación,Veracruz_de_Ignacio_de_la_Llave,José Azueta,"Km 124+391 poliducto de 12""-20"" Ø Minatitlán-México, Rancho Ma. Dolores",Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,15493.5,19109.5,Si,-95.739,18.123,,,,,,2010,
609,,,,,"Km 026+700 carretera federal No. 14 Morelia-Uruapan, tramo Morelia-Lagunillas",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2012,739.64,,436.55
610,,,,,"Km 053+100 carretera transpeninsular Benito Juárez, tramo La Paz-Ciudad Constitución",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,522,,694
612,,,,,Km 067+600 carretera No. 145D tramo La Tinaja-Cosoleacaque,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,855,,739.9
613,Pasivo ambiental,Comisión Federal de Electricidad,Campeche,Campeche,"Central Termoeléctrica Lerma de la CFE, km 10 carretera Campeche-Champotón",Derrames y/o fugas,Generación de electricidad a partir de combustibles fósiles,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",Metales,Metales y metaloides,3640.3,886.03,Si,-90.613,19.795,,,,,,2010,
615,,,,,"Km 168+700 camino nacional No. 190 México-Ciudad Cuauhtémoc, tramo El Camarón-Tehuantepec",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2012,80,,36
617,,,,,"Km 068+500 autopista No. 54D de Guadalajara a Colima, tramo de Acatlán de Juárez",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2012,607,,279.22
618,,,,,"Km 017+300 camino nacional No. 90 Irapuato-Guadalajara, tramo Irapuato-Abasolo",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,52.84,,39.96
619,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Pánuco,Área propiedad de Hipólita Castillo ,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos pesados,Hidrocarburos,677.21,745.71,Si,-98.202,22.248,,,,,,2010,
620,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Pánuco,Pozo Guzmán 42 área propiedad de Ernesto Perea Martínez,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos pesados,Hidrocarburos,13634.44,8726.042,Si,-98.329,22.317,,,,,,2010,
621,,,,,"Km 016+200 carretera No. 45 México-Ciudad Juárez, tramo Parral-Pueblito de Allende",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2011,104.48,,177.61
622,Pasivo ambiental,"Promotora Inverstar, S.A. de C.V.",Ciudad_de_México,Cuauhtémoc,"Alfonso Herrera No. 67, colonia San Rafael",Derrames y/o fugas,Reparación mecánica en general de automóviles y camiones. Actual: Construcción de vivienda,Servicios de reparación y mantenimiento. Actual: Edificación,Hidrocarburos pesados,Hidrocarburos,160,960,Si,-99.162,19.441,,,,,,2010,
623,,,,,"Km 117+000 carretera federal No. 37D Carapan-Playa Azul, tramo Uruapan-Cuatro caminos",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,4440,,275
624,,,,,"Km 126+050 carretera No. 200 Tepic-Puente Talismán Chiapas, tramo Acapulco-Zihuatanejo (colonia El Veinte)",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2012,360,,406
625,,,,,Km 077+000 tramo Tepeji del Río-Jilotepec,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,709.8,,90.9
626,,,,,"Km 268+150 camino nacional No. 45 México-Ciudad Juárez, tramo Zacatecas-Durango",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,390.91,,665.38
627,,,,,"Km 009+200 carretera federal No. 81 (Tampico-Ciudad Victoria), tramo carretero González-Zaragoza",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2012,983.72,,376.1
628,,,,,Km 2 carretera Cadereyta-Allende cruz con libramiento Alfonso Martínez Domínguez y 20 de Noviembre,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,885.68,,310
629,Pasivo ambiental,Pemex Exploración y Producción,Tabasco,Centla,Pozo Pijije 21 del Activo Integral Samaria-Luna,Derrame,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos pesados,Hidrocarburos,5700.75,1383.98,No,-92.814,18.38,,,,,,2010,
630,,,,,Km 38.5 carretera La Marquesa a Tenango,,,,,,,,,,,Químicos,"Teox, S.A. de C.V. (conclusión de la remediación) . Remediación, Mantenimiento y Tecnologías en Medio Ambiente, S.A. (propuesta de la remediación)",Oxidación química a un lado del sitio contaminado,2013,397.74,,2073.41
632,,,,,"Km 068+100 carretera No. 45D León-Aguascalientes, tramo caseta de peaje León-Lagos de Moreno",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,188.5,,122.5
633,,,,,Km 005+900 carretera federal No. 16 entronque a Anáhuac,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,1051.87,,480
634,,,,,"Km 018+000 carretera federal No. 70 Tampico-Sánchez Román, a la altura de la entrada a la comunidad Los Otates",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,412,,253.2
635,,,,,"Km 031+500 autopista No. 54D Guadalajara-Colima, tramo Acatlán de Juárez",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,102.2,,119.08
638,Emergencia ambiental,"Kansas City Southern de México, S.A. de C.V.",San_Luis_Potosí,Santa María del Río,"Km 142+530 de la vía general de comunicación ""BC"" México-Laredo",Derrame,Transporte por ferrocarril,Transporte por ferrocarril,Petrolíferos,Hidrocarburos,65800,32900,Si,-100.831,21.632,,,,,,2010,
643,,,,,"Km 177+020 camino nacional No. 190 México-Ciudad Cuauhtémoc, tramo el Camarón-Tehuantepec",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,321,,385.95
644,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,Pozo Tamaulipas 108,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de  fracción media y pesados,Hidrocarburos,2756.22,400,Si,-97.927,22.439,,,,,,2011,
645,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,Pozo Tamaulipas 110-2,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de  fracción media y pesados,Hidrocarburos,2929.65,400,Si,-97.944,22.446,,,,,,2011,
646,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,Pozo Tamaulipas 110-1,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de  fracción media y pesados,Hidrocarburos,5130,800,Si,-97.944,22.446,,,,,,2011,
647,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,Pozo Tamaulipas 109,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,"Hidrocarburos ligeros, de fracción media y pesados",Hidrocarburos,5914.97,1600,Si,-97.948,22.447,,,,,,2011,
649,,,,,Km 70 autopista Ciudad Juárez-Chihuahua,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,62.36,,37.42
650,,,,,"Km 146+200 carretera No. 180D, tramo Kantunil-Cancún 083+700",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,185,,289.14
651,Emergencia ambiental,"Promotora Ambiental de la Laguna, S.A. de C.V.",Campeche,Carmen,"Avenida Edzná S , parque industrial y de bodegas Laguna de Términos",Derrame,Tratamiento y disposición final de residuos peligrosos por el sector privado,Manejo de residuos y servicios de remediación,Hidrocarburos pesados,Hidrocarburos,20,4,Si,-91.765,18.651,,,,,,2011,
652,,,,,"Km 148+050 carretera internacional No. 15 México-Nogales, en el tramo carretero caseta de Peaje-Navojoa",,,,,,,,,,,Disposición final,"Isali, S.A. de C.V.",Disposición final fuera del sitio,2011,30.72,,6.14
653,,,,,Km 217+800 carretera México-Piedras Negras No. 57,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2012,1292.16,,559.84
654,,,,,Km 5 carretera Zumpango-Los Reyes Acozac,,,,,,,,,,,Térmicos,"Gaan Consultores, S.A. de C.V.",Desorción térmica,2011,3.47,,1.38
655,,,,,"Km 170+000 carretera federal No. 200 Tepic Puente Talismán, en el tramo Escuintla-Tres Picos",,,,,,,,,,,Biológicos,"Ingeniería Ecológica del Sureste, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2012,80,,96
656,,,,,Avenida Félix Cuevas esquina avenida Universidad colonia Santa Cruz Atoyac,,,,,,,,,,,Térmicos,"Sistemas de Tratamiento Ambiental, S.A. de C.V.",Co-procesamiento,2012,1175,,4102
657,,,,,"Camino al Castillo No. 2200, colonia Las Pintas",,,,,,,,,,,Combinación de procesos biológicos-físicos,"Corporación Ambiental de México, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado y extracción de vapores en el sitio contaminado,2016,1020,,1836
658,,,,,Km 082+600 carretera transpeninsular tramo carretero Insurgentes-Loreto,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2012,1195.79,,2111.05
659,Pasivo ambiental,"ASA Organización Industrial, S.A. de .C.V.",Jalisco,Teocuitatlán de Corona,"Km 41.5 autopista Guadalajara-Manzanillo, Tehuantepequillo",Derrames y/o fugas,Fabricación de explosivos,Industria química,Hidrocarburos de  fracción media,Hidrocarburos,N.E.I.,N.E.I.,No,-103.378,20.092,,,,,,2011,
661,,,,,"Km 133+830 carretera federal No. 54 Colima-Ciudad Mier, tramo Morelos-San Tiburcio",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,3354,,355.4
662,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,Área 5 del Pozo ubicado en la propiedad del Sr. Montalvo Altamirano,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos pesados,Hidrocarburos,735.13,1396.747,Si,-97.951,22.539,,,,,,2011,
663,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,Área 8 del Pozo ubicado en la propiedad del Sr. Montalvo Altamirano,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de  fracción media y pesados,Hidrocarburos,1793.273,3604.479,Si,-97.953,22.541,,,,,,2011,
664,Pasivo ambiental,Pemex Exploración y Producción,Tamaulipas,Altamira,Área 3 del Pozo ubicado en la propiedad del Sr. Montalvo Altamirano,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de  fracción media y pesados,Hidrocarburos,2271.836,8632.98,Si,-97.951,22.538,,,,,,2011,
667,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Pánuco,Área Águila 7-3,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos pesados,Hidrocarburos,961.83,1152.89,Si,-98.146,22.175,,,,,,2011,
668,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Pánuco,Área Fernando Gutiérrez,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de  fracción media y pesados,Hidrocarburos,766.44,534.43,Si,-98.111,22.092,,,,,,2011,
669,Pasivo ambiental,Pemex Exploración y Producción,Veracruz_de_Ignacio_de_la_Llave,Pánuco,Área Águila 7-2,Derrames y/o fugas,Extracción de petróleo y gas natural asociado ,Extracción de petróleo y gas,Hidrocarburos de  fracción media y pesados,Hidrocarburos,3588.31,2683.93,Si,-98.146,22.174,,,,,,2011,
670,,,,,"Km 046+000 carretera costera denominada Benito Juárez, tramo Culiacán-Guamúchil",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,185,,152.2
671,Emergencia ambiental,"Amoniaco Industrial del Bajío, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,San Andrés Tuxtla,"Km 149+200 carretera nacional No. 145D La Tinaja-Cosoleacaque, tramo km 090+000-retorno km 167+400",Derrame,Comercio al por mayor de productos químicos para la industria farmacéutica y para otro uso industrial,"Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho",Otros contaminantes no normados,Otros contaminantes no normados,307,535.34,Si,-95.282,18.019,,,,,,2011,
673,,,,,"(Mina Cata) calle Ex Hacienda de Bustos S , colonia Cata",,,,,,,,,,,Biológicos,"International Products and Organics Solutions, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2012,66,,33
674,,,,,(Mina San Vicente) carretera panorámica tramo Rayas-Cerro del Cuarto,,,,,,,,,,,Biológicos,"International Products and Organics Solutions, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2012,122,,73.72
675,,,,,Km 096+700 carretera México-Piedras Negras,,,,,,,,,,,Combinación de procesos biológicos-físicos,"Germen, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado y extracción de vapores en el sitio contaminado,2011,293.94,,846.12
676,,,,,"Km 57 carretera Monterrey-Saltillo, entronque con el Periférico",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2012,201.94,,198.34
677,,,,,"Km 039+500 carretera No. 45 México-Ciudad Juárez, libramiento norponiente",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,82.9,,62
678,,,,,Carretera estatal de la Ranchería Anacleto Canabal 4ta. Sección hacia la carretera federal Villahermosa-Cárdenas,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2011,225,,304.5
679,,,,,Km 004+000 entronque Pajaritos-Nanchital,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2011,449,,80.82
680,Emergencia ambiental,Pemex Refinación,Coahuila_de_Zaragoza,Francisco I. Madero,Km 289+030 poliducto de 14 Ø Satélite-Gómez Palacio,Derrame,Refinación de petróleo,Fabricación de productos derivados del petróleo y del carbón,Petrolíferos,Hidrocarburos,495.7,2247.95,Si,-103.247,25.774,,,,,,2011,
681,,,,,"Km 171+066 poliducto de 10 Ø Gómez Palacio-Chihuahua, Ejido El Rellano",,,,,,,,,,,Combinación de procesos biológicos-físicos,"Grupo Ancuri, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado y extracción de vapores en el sitio contaminado,2015,4300.25,,10392.16
682,Emergencia ambiental,"Express y Tanques Especializados, S.A. de C.V.",Guerrero,Petatlán,"Km 193+200 camino nacional No. 200 Tepic-Puente Talismán Chiapas, tramo Coyuquilla-Zihuatanejo",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,750.23,446.32,Si,-101.216,17.442,,,,,,2011,
684,,,,,Km 027+200 y el km 027+400 carretera federal No. 80,,,,,,,,,,,Químicos,"Ecología 2000, S.A. de C.V.",Neutralización química a un lado del sitio contaminado,2011,863,,111.5
